reaction,adsorbate,DFT,MLIP,classification
Ag8O16_H2O(g) - H2(g) + * -> O*,O,4.776718740000007,3.880807307215118,normal
Ag8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0888029000000046,0.881797553374227,normal
Ag6O12_H2O(g) - H2(g) + * -> O*,O,4.5963922199999985,3.664994935091862,normal
Ag6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.9078245000000038,0.7686328069455719,normal
Au8O16_H2O(g) - H2(g) + * -> O*,O,4.106723360000004,3.231844682358414,normal
Au8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5057529100000124,0.32561098820309553,normal
Au6O12_H2O(g) - H2(g) + * -> O*,O,4.089805870000006,3.1883479030939768,normal
Au6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3927296500000068,0.3141377437688355,normal
Cd8O16_H2O(g) - H2(g) + * -> O*,O,5.024646590000003,4.221557703068235,normal
Cd8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.256772500000011,1.1396116122571378,normal
Cd6O12_H2O(g) - H2(g) + * -> O*,O,4.708414300000001,-0.06966367273148677,reproduction_failure
Cd6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.0806685000000016,1.2120650164772258,unphysical_relaxation
Co8O16_H2O(g) - H2(g) + * -> O*,O,3.7730144699999926,2.993266997434091,normal
Co8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3849585600000012,0.32352560367334604,normal
Co6O12_H2O(g) - H2(g) + * -> O*,O,3.6909155100000106,3.053606901794865,normal
Co6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3429571800000133,0.42223499959098376,normal
Cr8O16_H2O(g) - H2(g) + * -> O*,O,3.2340354399999853,2.349713533050732,normal
Cr8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.125645999999989,0.06885362473528289,normal
Cr6O12_H2O(g) - H2(g) + * -> O*,O,3.403052669999994,2.5072273761563864,normal
Cr6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.3257011599999942,0.19122275030542824,normal
Cu8O16_H2O(g) - H2(g) + * -> O*,O,4.7515746199999995,3.9168100864044213,normal
Cu8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.2884642799999995,1.0615987874123647,normal
Cu6O12_H2O(g) - H2(g) + * -> O*,O,4.709045009999997,3.8252279690042457,normal
Cu6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.278097509999995,1.0149294322314404,normal
Fe8O16_H2O(g) - H2(g) + * -> O*,O,4.7115982999999915,4.051534752361391,normal
Fe8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8822180100000026,0.9894386444537417,normal
Fe6O12_H2O(g) - H2(g) + * -> O*,O,4.525998889999997,4.0158653566335545,normal
Fe6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.8332475400000021,0.9771808861503466,normal
Ga6O12_H2O(g) - H2(g) + * -> O*,O,4.654239590000003,3.909811000953191,normal
Ga6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.168456400000011,1.1088469061411494,normal
Ga8O16_H2O(g) - H2(g) + * -> O*,O,4.741778619999991,3.9797906319479353,normal
Ga8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.081958209999982,0.9755441548554238,normal
Ge8O16_H2O(g) - H2(g) + * -> O*,O,4.407339119999989,3.619237844404779,normal
Ge8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.6025459399999988,0.48795469330494257,normal
Ge6O12_H2O(g) - H2(g) + * -> O*,O,4.505709780000004,3.7243667698304534,normal
Ge6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.7843677000000042,0.663210905220776,normal
Hf8O16_H2O(g) - H2(g) + * -> O*,O,4.471249029999996,3.663714429241132,normal
Hf8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.536630439999982,0.38694792086075935,normal
Hf6O12_H2O(g) - H2(g) + * -> O*,O,4.429426540000009,3.693533405283972,normal
Hf6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5856020299999898,0.48814676793273293,normal
Hg8O16_H2O(g) - H2(g) + * -> O*,O,5.447956660000003,4.539536221987348,normal
Hg8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.809764130000005,1.581968786296283,normal
Hg6O12_H2O(g) - H2(g) + * -> O*,O,5.982212809999993,0.7724475905292323,reproduction_failure
Hg6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.7388193199999975,0.2773278411970459,reproduction_failure
In8O16_H2O(g) - H2(g) + * -> O*,O,4.851615380000013,3.9907507391654313,normal
In8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.127687750000007,0.719444044567382,unphysical_relaxation
In6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,2.027657860000005,0.9983019286524097,normal
In6O12_H2O(g) - H2(g) + * -> O*,O,4.609503860000004,3.8665193495922487,normal
Ir8O16_H2O(g) - H2(g) + * -> O*,O,1.4617940899999837,0.7200551038491483,normal
Ir8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.34482077999999206,-1.3691147858850172,normal
Ir6O12_H2O(g) - H2(g) + * -> O*,O,1.5364246399999786,0.7957342319650422,normal
Ir6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.24125521999999933,-1.3006320671546376,normal
Mn8O16_H2O(g) - H2(g) + * -> O*,O,4.094782609999982,3.536237173432788,normal
Mn8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.5346961499999736,0.3588502774373943,normal
Mn6O12_H2O(g) - H2(g) + * -> O*,O,4.015549669999984,3.4144305685561136,normal
Mn6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.479763840000004,0.3652767385298148,normal
Mo8O16_H2O(g) - H2(g) + * -> O*,O,-0.2763444900000138,-0.16858561057327393,normal
Mo8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6729427900000076,-1.353207962107291,normal
Mo6O12_H2O(g) - H2(g) + * -> O*,O,-0.05588604999999802,-0.08147244784358776,normal
Mo6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.6243819400000064,-1.3664274658682736,adsorbate_migration
Nb8O16_H2O(g) - H2(g) + * -> O*,O,-0.2471059700000069,-1.075213149014349,normal
Nb8O16_H2O(g) - 0.5H2(g) + * -> OH*,OH,-1.0331504800000175,-2.16449390975831,normal
Nb6O12_H2O(g) - H2(g) + * -> O*,O,0.2305838700000038,-0.5615787978806068,normal
Nb6O12_H2O(g) - 0.5H2(g) + * -> OH*,OH,-0.7488003199999866,-1.8349033172436293,normal
