reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,-3.3056160324835595,energy_anomaly
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,-3.3036096425189534,energy_anomaly
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,-2.6210208545323006,energy_anomaly
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,-4.697183422477096,energy_anomaly
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,-4.650712261115615,energy_anomaly
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,-4.653766097717067,energy_anomaly
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,-4.774679205620828,energy_anomaly
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,-2.021142835812366,energy_anomaly
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,-1.9838177262971683,energy_anomaly
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,-0.037517724071644665,energy_anomaly
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,0.0008524873901194496,energy_anomaly
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,-0.3061029251334695,energy_anomaly
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,1.8101834826263996,energy_anomaly
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-1.6793898648950538,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-1.7273944736947975,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-1.6889548414032127,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,-0.14655254104603088,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,-0.21312844665814268,normal
